Date,Open,High,Low,Close,Adj Close,Volume
1994-06-30,14.429971,14.459847,14.011711,14.041587,8.097570,11436964
1994-07-01,14.101338,14.131214,13.563576,13.623327,7.856367,15974930
1994-07-05,13.623327,13.832457,13.444073,13.444073,7.752995,11673360
1994-07-06,13.503824,13.623327,13.473948,13.623327,7.856367,8113194
1994-07-07,13.712954,13.712954,13.533700,13.563576,7.821907,7187694
1994-07-08,13.503824,13.832457,13.503824,13.533700,7.804677,9687634
1994-07-11,13.593451,13.653203,13.234943,13.294694,7.666849,11292198
1994-07-12,13.324570,13.414197,13.115440,13.354446,7.701306,12525641
1994-07-13,13.384321,13.563576,13.354446,13.563576,7.821907,10381341
1994-07-14,13.742830,13.981836,13.683078,13.922084,8.028654,12563297
1994-07-15,13.802581,13.832457,13.563576,13.593451,7.839139,10369207
1994-07-18,13.683078,13.772706,13.533700,13.593451,7.839139,6927030
1994-07-19,13.563576,13.593451,13.294694,13.294694,7.666849,7603165
1994-07-20,13.324570,13.444073,13.025813,13.354446,7.701306,13344031
1994-07-21,14.101338,14.967734,13.862333,14.907983,8.597207,36846396
1994-07-22,14.878107,14.937859,14.609226,14.668977,8.459376,15540213
1994-07-25,14.668977,14.907983,14.657774,14.878107,8.579973,9799765
1994-07-26,14.937859,15.087237,14.848231,14.907983,8.597207,12120630
1994-07-27,14.878107,14.937859,14.788480,14.937859,8.614435,6030399
1994-07-28,14.907983,15.057361,14.878107,14.878107,8.579973,5279371
1994-07-29,14.967734,14.997610,14.758604,14.788480,8.528290,7087278
1994-08-01,14.788480,15.087237,14.698853,15.027486,8.666123,7411538
1994-08-02,15.057361,15.146989,14.878107,14.878107,8.579973,8718619
1994-08-03,14.907983,15.087237,14.878107,15.057361,8.683350,5665973
1994-08-04,15.057361,15.176864,14.997610,15.087237,8.735248,8562138
1994-08-05,14.997610,15.087237,14.788480,14.907983,8.631458,6693982
1994-08-08,14.997610,15.146989,14.967734,15.117113,8.752543,7014894
1994-08-09,15.146989,15.415870,15.117113,15.415870,8.925517,12606392
1994-08-10,15.415870,15.535373,15.326243,15.326243,8.873623,11332782
1994-08-11,15.296367,15.445746,15.236616,15.445746,8.942812,10232809
1994-08-12,15.475621,15.565249,15.236616,15.236616,8.821733,8374694
1994-08-15,15.236616,15.415870,15.236616,15.385994,8.908216,4509515
1994-08-16,15.415870,15.475621,15.236616,15.445746,8.942812,8514858
1994-08-17,15.505497,15.684751,15.385994,15.505497,8.977407,12322717
1994-08-18,15.625000,15.983509,15.625000,15.834130,9.167680,17559411
1994-08-19,15.864006,16.401770,15.774379,16.282267,9.427144,19511666
1994-08-22,16.132887,16.342016,16.073135,16.192638,9.375250,12428990
1994-08-23,16.222513,16.312141,16.162764,16.162764,9.357955,12180879
1994-08-24,16.103010,16.103010,15.923757,16.103010,9.323363,11711853
1994-08-25,16.013384,16.670650,15.983509,16.581022,9.600120,22065998
1994-08-26,16.581022,16.760277,16.521273,16.730402,9.686606,17338914
1994-08-29,16.670650,16.730402,16.551147,16.581022,9.600120,9683450
1994-08-30,16.581022,16.670650,16.461519,16.581022,9.600120,7830356
1994-08-31,16.551147,16.610899,16.371893,16.371893,9.479035,10341593
1994-09-01,15.983509,16.312141,15.983509,16.222513,9.392550,11625244
1994-09-02,16.252390,16.252390,15.953633,16.073135,9.306060,6128305
1994-09-06,16.043261,16.162764,15.923757,16.132887,9.340657,5214519
1994-09-07,16.132887,16.312141,16.103010,16.132887,9.340657,8496867
1994-09-08,16.073135,16.282267,16.073135,16.222513,9.392550,5708231
1994-09-09,15.983509,16.252390,15.953633,16.073135,9.306060,9661693
1994-09-12,16.132887,16.282267,16.132887,16.222513,9.392550,5045486
1994-09-13,16.431644,16.640774,16.401770,16.551147,9.582822,12151173
1994-09-14,16.521273,16.760277,16.491396,16.670650,9.652015,10612716
1994-09-15,16.610899,16.790154,16.610899,16.670650,9.652015,8606906
1994-09-16,16.670650,17.059034,16.610899,16.969406,9.824986,21545926
1994-09-19,16.879780,17.029160,16.790154,16.820028,9.738497,7734124
1994-09-20,16.700525,16.849903,16.640774,16.790154,9.721203,11485917
1994-09-21,16.969406,17.059034,16.581022,16.610899,9.617417,15217626
1994-09-22,16.670650,16.790154,16.581022,16.640774,9.634714,8872172
1994-09-23,16.581022,16.610899,16.461519,16.521273,9.565526,7367187
1994-09-26,16.491396,16.521273,16.192638,16.491396,9.548226,7383923
1994-09-27,16.461519,16.581022,16.401770,16.491396,9.548226,4668089
1994-09-28,16.521273,16.700525,16.371893,16.371893,9.479035,5439200
1994-09-29,16.342016,16.700525,16.192638,16.610899,9.617417,9649141
1994-09-30,16.551147,16.760277,16.461519,16.640774,9.634714,8534523
1994-10-03,16.581022,16.610899,16.401770,16.461519,9.530927,4880636
1994-10-04,16.521273,16.610899,16.312141,16.342016,9.461738,7198572
1994-10-05,16.282267,16.521273,16.103010,16.521273,9.565526,11261236
1994-10-06,16.491396,16.610899,16.401770,16.431644,9.513627,7569693
1994-10-07,16.461519,17.148663,16.431644,16.999283,9.842284,18809590
1994-10-10,17.029160,17.178537,16.909657,17.088909,9.894179,7551702
1994-10-11,17.148663,17.298040,17.088909,17.118786,9.911475,11746998
1994-10-12,16.969406,17.566921,16.969406,17.477295,10.119047,13504278
1994-10-13,17.596798,17.716299,17.268164,17.268164,9.997966,9797254
1994-10-14,17.327915,17.477295,17.178537,17.477295,10.119047,8538707
1994-10-17,17.417543,17.626673,17.387667,17.507170,10.136343,6428298
1994-10-18,17.566921,17.805927,17.537046,17.805927,10.309311,10306866
1994-10-19,17.686424,18.104685,17.626673,18.015057,10.430400,16460693
1994-10-20,18.044933,18.194311,17.656549,17.925430,10.378508,21827510
1994-10-21,17.835802,18.015057,17.716299,17.835802,10.326615,14110540
1994-10-24,17.835802,17.835802,17.417543,17.447418,10.101746,10941997
1994-10-25,17.357792,17.776052,17.357792,17.656549,10.222829,11839046
1994-10-26,17.686424,17.805927,17.596798,17.776052,10.292020,10208123
1994-10-27,17.805927,17.835802,17.626673,17.716299,10.257421,5228326
1994-10-28,17.716299,18.254063,17.716299,18.194311,10.534182,11352447
1994-10-31,18.074808,18.074808,17.805927,17.805927,10.309311,8060058
1994-11-01,17.776052,17.985182,17.566921,17.656549,10.222829,10460000
1994-11-02,17.686424,17.985182,17.626673,17.746176,10.274724,11169606
1994-11-03,17.805927,17.835802,17.477295,17.566921,10.170937,6950879
1994-11-04,17.537046,17.566921,16.999283,16.999283,9.875878,13568294
1994-11-07,17.059034,17.268164,16.909657,17.178537,9.980010,9534918
1994-11-08,17.118786,17.566921,17.059034,17.447418,10.136228,7819896
1994-11-09,17.626673,17.776052,17.507170,17.686424,10.275075,10949946
1994-11-10,17.566921,17.596798,17.118786,17.208412,9.997366,11240316
1994-11-11,17.208412,17.447418,17.148663,17.298040,10.049443,7731614
1994-11-14,17.387667,17.447418,17.268164,17.417543,10.118867,6327882
1994-11-15,17.417543,17.656549,17.327915,17.477295,10.153583,7319071
1994-11-16,17.447418,17.477295,17.357792,17.387667,10.101511,5323303
1994-11-17,17.507170,17.626673,17.387667,17.477295,10.153583,7596052
1994-11-18,17.447418,17.537046,17.387667,17.507170,10.170938,13064958
1994-11-21,17.507170,17.716299,17.357792,17.417543,10.118867,6987698
1994-11-22,17.387667,17.417543,16.581022,16.670650,9.684958,10004362
1994-11-23,16.551147,16.730402,16.252390,16.730402,9.719666,19618358
1994-11-25,16.730402,16.939531,16.730402,16.909657,9.823812,4584409
1994-11-28,16.939531,17.118786,16.790154,16.879780,9.806452,8345825
